root               , notes                                                                , omega_b , omega_cdm , h      , A_s       , n_s    , alpha_s , N_ur   , N_ncdm , omega_ncdm , w0_fld , wa_fld , sigma8_m , sigma8_cb
abacus_cosm000     ,"Baseline LCDM, Planck 2018 base_plikHM_TTTEEE_lowl_lowE_lensing mean", 0.02237 ,  0.1200   , 0.6736 , 2.0830e-9 , 0.9649 , 0.0     , 2.0328 , 1      , 0.00064420 , -1.0   , 0.0    , 0.807952 , 0.811355
abacus_cosm001     ,"WMAP9+ACT+SPT LCDM, Calabrese++ 2017                                ", 0.02242 ,  0.1134   , 0.7030 , 2.0376e-9 , 0.9638 , 0.0     , 2.0328 , 1      , 0.00064420 , -1.0   , 0.0    , 0.776779 , 0.780222
abacus_cosm002     ,"wCDM with thawing model w0 = -0.7, wa = -0.5                        ", 0.02237 ,  0.1200   , 0.6278 , 2.3140e-09, 0.9649 , 0.0     , 2.0328 , 1      , 0.00064420 , -0.7   , -0.5    , 0.808189 , 0.811577
abacus_cosm003     ,"Neff=3.70, from base_nnu_plikHM_TT_lowl_lowE_Riess18_post_BAO       ", 0.02260 ,  0.1291   , 0.7160 , 2.2438e-9 , 0.9876 , 0.0     , 2.6868 , 1      , 0.00064420 , -1.0   , 0.0    , 0.855190 , 0.858583
abacus_cosm004     ,"Low sigma8_matter = 0.75, otherwise Baseline LCDM                   ", 0.02237 ,  0.1200   , 0.6736 , 1.7949e-9 , 0.9649 , 0.0     , 2.0328 , 1      , 0.00064420 , -1.0   , 0.0    , 0.749999 , 0.753159
abacus_cosm009     ,"Baseline LCDM with massless neutrinos matching omega_cb & sigma8_cb ", 0.02237 ,  0.1200   , 0.6736 , 2.0417e-9 , 0.9649 , 0.0     , 3.046  , 0      , 0.0        , -1.0   , 0.0    , 0.811362 ,0.811362
abacus_cosm010     ,"AbacusCosmos Planck LCDM cosmology                                  ", 0.02222 ,  0.1199   , 0.6726 , 2.100e-9  , 0.9652 , 0.0     , 3.04   , 0      , 0.0        , -1.0   , 0.0    , 0.823630 ,0.823630
abacus_cosm011     ,"AbacusCosmos Planck LCDM cosmology +10% in sigma8                   ", 0.02222 ,  0.1199   , 0.6726 , 2.541e-9  , 0.9652 , 0.0     , 3.04   , 0      , 0.0        , -1.0   , 0.0    , 0.905993 ,0.905993
abacus_cosm012     ,"Euclid Flagship1 LCDM, sigma8_m=0.8279                              ", 0.02200 ,  0.1212   , 0.6700 , 2.1000e-9 , 0.9600 , 0.0     , 3.046  , 0      , 0.0        , -1.0   , 0.0    , 0.827899 ,0.827899
abacus_cosm013     ,"Euclid Flagship2 LCDM, sigma8_m=0.813715, sigma8_cb=0.817135        ", 0.02200 ,  0.1206   , 0.6700 , 2.1000e-9 , 0.9600 , 0.0     , 2.0328 , 1      , 0.00064420 , -1.0   , 0.0    , 0.813715 , 0.817135
abacus_cosm014     ,"OuterRim LCDM, sigma8=0.80                                          ", 0.02258 ,  0.1109   , 0.7100 , 2.1591e-9 , 0.9630 , 0.0     , 3.046  , 0      , 0.0        , -1.0   , 0.0    , 0.800000 ,0.800000
abacus_cosm015     ,"DarkSky LCDM, sigma8=0.835                                          ", 0.02215 ,  0.1175   , 0.6880 , 2.1852e-9 , 0.9688 , 0.0     , 3.046  , 0      , 0.0        , -1.0   , 0.0    , 0.835005 ,0.835005
abacus_cosm016     ,"Horizon Run 4 LCDM, sigma8=0.7937                                   ", 0.02281 ,  0.1120   , 0.7200 , 2.0996e-9 , 0.9600 , 0.0     , 3.046  , 0      , 0.0        , -1.0   , 0.0    , 0.793693 ,0.793693
abacus_cosm017     ,"IllustrisTNG LCDM, sigma8=0.8159                                    ", 0.02230 ,  0.1194   , 0.6774 , 2.0671e-9 , 0.9667 , 0.0     , 3.046  , 0      , 0.0        , -1.0   , 0.0    , 0.815903 ,0.815903
