#num  sigma8cb    ochh      ns     obhh      w0      wa     Nur     nrun
#
  0  0.811355  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000
  1  0.780222  0.1134  0.9638  0.02242  -1.000   0.000  2.0328   0.000
  2  0.811577  0.1200  0.9649  0.02237  -0.700  -0.500  2.0328   0.000
  3  0.858583  0.1291  0.9876  0.02260  -1.000   0.000  2.6868   0.000
  4  0.753159  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000
100  0.811355  0.1200  0.9649  0.02282  -1.000   0.000  2.0328   0.000
101  0.811355  0.1200  0.9649  0.02193  -1.000   0.000  2.0328   0.000
102  0.811355  0.1240  0.9649  0.02237  -1.000   0.000  2.0328   0.000
103  0.811355  0.1161  0.9649  0.02237  -1.000   0.000  2.0328   0.000
104  0.811355  0.1200  0.9749  0.02237  -1.000   0.000  2.0328   0.000
105  0.811355  0.1200  0.9549  0.02237  -1.000   0.000  2.0328   0.000
106  0.811355  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.020
107  0.811355  0.1200  0.9649  0.02237  -1.000   0.000  2.0328  -0.020
108  0.811355  0.1200  0.9649  0.02237  -0.900   0.000  2.0328   0.000
109  0.811355  0.1200  0.9649  0.02237  -1.100   0.000  2.0328   0.000
110  0.811355  0.1200  0.9649  0.02237  -1.100   0.400  2.0328   0.000
111  0.811355  0.1200  0.9649  0.02237  -0.900  -0.400  2.0328   0.000
112  0.827591  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000
113  0.795443  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000
114  0.811355  0.1240  0.9749  0.02237  -1.000   0.000  2.3328   0.000
115  0.811355  0.1240  0.9549  0.02237  -1.000   0.000  2.3328   0.000
#
116  0.869551  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000
#
130  0.713992  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000
131  0.811355  0.1086  0.9649  0.02237  -1.000   0.000  2.0328   0.000
132  0.811355  0.1200  0.9049  0.02237  -1.000   0.000  2.0328   0.000
133  0.908718  0.1200  0.9649  0.02237  -1.000   0.000  2.0328   0.000
134  0.811355  0.1326  0.9649  0.02237  -1.000   0.000  2.0328   0.000
135  0.811355  0.1200  1.0249  0.02237  -1.000   0.000  2.0328   0.000
136  0.886001  0.1192  0.9303  0.02073  -1.000   0.000  2.0328   0.000
137  0.732406  0.1271  0.9252  0.02212  -1.000   0.000  2.0328   0.000
138  0.824865  0.1138  0.9723  0.02108  -1.000   0.000  2.0328   0.000
139  0.796273  0.1128  0.9732  0.02416  -1.000   0.000  2.0328   0.000
140  0.775045  0.1221  0.9893  0.02096  -1.000   0.000  2.0328   0.000
